CD_SOURCE;LB_SOURCE_FR;LB_SOURCE_UK
A;Plantes de l'annexe A cultivées artificiellement pour usage non commercial et plantes des annexes B et C cultivées artificiellement;Annex A plants artificially propagated for non-commercial purpose and Annex B and C plants artificially propagated
C;Animaux élevés en captivité remplissant pas les critères du chapitre XIII du règlement (EC)No 865/2006;Animals bred in captivity in accordance with Chapter XIII of Regulation (EC) No 865/2006
D;Animaux de l'annexe A élevés en captivité pour usage commercial, Plantes de l'annexe A cultivées artificiellement pour usage commercial;Annex A animals bred in captivity for commercial purpose and Annex A plants artificially propagated for commercial purpose
F;Animaux nés en captivité mais ne remplissant pas les critères du chapitre XIII du règlement (EC)No 865/2006;Animals born in captivity, but for which the criteria of Chapter XIII of Regulation (EC) No 865/2006 are not met
R;Ranching : spécimens animaux elevés en conditions contrôlées mais prélevés à l'état de juvénile ou œuf dans la nature (vace possibilité de survie réduite);Specimens of animals reared in a controlled environment, taken as eggs or juveniles  from the wild, where they would otherwise have had a very low probability of surviving to adulthood
U;Source inconnue;Source unknown
W;Spécimens prélevés dans la nature;Specimens taken from the wild
X;Spécimen captué dans les eaux internationales;Specimen taken in the marine environnement not under the juridiction of any state
I;Spécimens confisqués;Confiscated or seized specimens
O;Pré-convention;Pre-convention
